Year,Month,Sector,Product_Description,HS_Code,HS_Code_2,HS_Code_4,HS_Code_6,Export_Value_USD,Export_Value_INR,Quantity_Tons,Unit_Price_USD_per_Ton,Port_of_Export,State_of_Origin,Destination_Port_USA,Trade_Terms,Historical_Average_Tariff_Rate_Percent,Export_Share_Percent_of_Total,Partner_Country
2015,January,Textiles,Cotton yarn,5205,52,5205,5205,3378073,219574745,514,6572.13,Surat,Gujarat,Houston,CIF,5.0,3.44,USA
2015,January,Textiles,Silk fabric,5007,50,5007,5007,1009231,65600015,535,1886.41,Mumbai,Maharashtra,Philadelphia,FOB,5.0,2.69,USA
2015,January,Textiles,Woolen fabric,5101,51,5101,5101,1913143,124354295,553,3459.57,Mumbai,Maharashtra,Boston,CIF,5.0,0.37,USA
2015,January,Gems & Jewellery,Diamond rings,7102,71,7102,7102,1732366,112603790,473,3662.51,Vadodara,Gujarat,Boston,CIF,7.5,2.05,USA
2015,January,Gems & Jewellery,Gold earrings,7113,71,7113,7113,4986428,324117820,476,10475.69,Chennai,Tamil Nadu,Houston,FOB,7.5,4.24,USA
2015,January,Gems & Jewellery,Platinum rings,7110,71,7110,7110,1955399,127100935,382,5118.85,Bangalore,Karnataka,San Francisco,CIF,7.5,2.28,USA
2015,January,Footwear,Leather shoes,6403,64,6403,6403,3934767,255759855,648,6072.17,Surat,Gujarat,San Francisco,CIF,10.0,1.77,USA
2015,January,Footwear,Sports shoes,6404,64,6404,6404,1818966,118232790,486,3742.73,Surat,Gujarat,Los Angeles,CIF,10.0,3.59,USA
2015,January,Footwear,Canvas sneakers,6404,64,6404,6404,3766902,244848630,307,12270.04,Mumbai,Maharashtra,Seattle,FOB,10.0,3.18,USA
2015,January,Auto Components,Engine parts,8409,84,8409,8409,3723462,242025030,225,16548.72,Mumbai,Maharashtra,New York,FOB,2.5,2.67,USA
2015,January,Auto Components,Brake pads,8708,87,8708,8708,998050,64873250,127,7858.66,Bangalore,Karnataka,Long Beach,CIF,2.5,4.85,USA
2015,January,Auto Components,Gear boxes,8409,84,8409,8409,2863580,186132700,700,4090.83,Kolkata,West Bengal,Philadelphia,CIF,2.5,3.91,USA
